Order ID, Amount , Profit ,Quantity,Category,Sub-Category,PaymentMode,Order Date,Day,Month,Year,CustomerName,State,City
B-25868," $2,944.00 ", $249.00 ,5,Office Supplies,Binders,Credit Card,26-12-2022,26,12,2022,Victoria Duran,Texas,Dallas
B-26367," $7,105.00 "," $2,782.00 ",19,Office Supplies,Pens,COD,25-12-2021,25,12,2021,Richard Gardner,Ohio,Columbus
B-25990," $1,091.00 ", $277.00 ,6,Office Supplies,Paper,COD,25-12-2022,25,12,2022,Mark Dixon,Ohio,Cincinnati
B-25990," $6,967.00 "," $3,257.00 ",17,Furniture,Bookcases,COD,25-12-2022,25,12,2022,Mark Dixon,Ohio,Cincinnati
B-25990," $6,027.00 "," $1,530.00 ",2,Office Supplies,Binders,Credit Card,25-12-2022,25,12,2022,Mark Dixon,Ohio,Cincinnati
B-25591," $7,346.00 "," $1,043.00 ",10,Furniture,Sofas,Credit Card,25-12-2022,25,12,2022,Randy Johnson,Ohio,Columbus
B-25591," $7,179.00 ", $683.00 ,13,Electronics,Laptops,Credit Card,25-12-2022,25,12,2022,Randy Johnson,Ohio,Columbus
B-25591," $9,770.00 "," $4,132.00 ",7,Electronics,Electronic Games,UPI,25-12-2022,25,12,2022,Randy Johnson,Ohio,Columbus
B-26032," $6,218.00 "," $1,125.00 ",5,Furniture,Tables,Debit Card,24-12-2023,24,12,2023,Anna Ferguson,California,San Francisco
B-26032," $2,799.00 "," $1,239.00 ",5,Furniture,Sofas,Debit Card,24-12-2023,24,12,2023,Anna Ferguson,California,San Francisco
B-26032," $5,167.00 ", $253.00 ,14,Electronics,Printers,Credit Card,24-12-2023,24,12,2023,Anna Ferguson,California,San Francisco
B-26032," $8,346.00 "," $1,176.00 ",1,Electronics,Phones,COD,24-12-2023,24,12,2023,Anna Ferguson,California,San Francisco
B-25436," $8,044.00 "," $3,634.00 ",3,Office Supplies,Markers,COD,24-12-2020,24,12,2020,Andre Fernandez,Florida,Orlando
B-25222," $4,852.00 ", $218.00 ,2,Furniture,Tables,EMI,24-12-2021,24,12,2021,Cynthia Meyer,Florida,Tampa
B-25996, $714.00 , $232.00 ,14,Furniture,Tables,UPI,23-12-2020,23,12,2020,Jennifer Clark,Texas,Austin
B-25465, $717.00 , $158.00 ,16,Furniture,Tables,Credit Card,23-12-2022,23,12,2022,Stephanie Leonard,New York,Buffalo
B-25465, $508.00 , $177.00 ,17,Furniture,Sofas,UPI,23-12-2022,23,12,2022,Stephanie Leonard,New York,Buffalo
B-25410," $1,954.00 ", $294.00 ,7,Furniture,Sofas,Debit Card,23-12-2022,23,12,2022,Jessica Baker,Texas,Austin
B-25148," $1,067.00 ", $251.00 ,14,Furniture,Sofas,EMI,23-12-2022,23,12,2022,William Morse,New York,Rochester
B-25148," $8,141.00 "," $3,968.00 ",18,Office Supplies,Markers,Debit Card,23-12-2022,23,12,2022,William Morse,New York,Rochester
B-25236," $5,518.00 ", $867.00 ,7,Furniture,Sofas,UPI,22-12-2022,22,12,2022,Vanessa Smith,Texas,Houston
B-25099," $4,492.00 "," $1,450.00 ",7,Furniture,Tables,EMI,22-12-2021,22,12,2021,William Valdez,California,San Diego
B-25099, $975.00 , $224.00 ,18,Office Supplies,Pens,COD,22-12-2021,22,12,2021,William Valdez,California,San Diego
B-25099," $7,957.00 "," $2,834.00 ",12,Furniture,Chairs,UPI,22-12-2021,22,12,2021,William Valdez,California,San Diego
B-26945," $7,377.00 ", $320.00 ,15,Electronics,Printers,Debit Card,21-12-2022,21,12,2022,Aaron Jones,Texas,Austin
B-26945," $2,054.00 ", $371.00 ,12,Office Supplies,Markers,EMI,21-12-2022,21,12,2022,Aaron Jones,Texas,Austin
B-26537," $3,260.00 ", $207.00 ,17,Furniture,Tables,UPI,21-12-2023,21,12,2023,Tanya Walker,California,San Diego
B-26347," $8,586.00 "," $3,826.00 ",7,Furniture,Bookcases,UPI,21-12-2020,21,12,2020,Mary Smith,Florida,Miami
B-25382," $7,019.00 "," $2,677.00 ",15,Office Supplies,Markers,UPI,21-12-2020,21,12,2020,Joshua Rojas,Florida,Miami
B-25112," $7,421.00 ", $958.00 ,10,Furniture,Tables,COD,20-12-2022,20,12,2022,Justin Vasquez,Texas,Houston
B-26066," $6,673.00 ", $950.00 ,19,Office Supplies,Markers,EMI,19-12-2024,19,12,2024,Carl Wade DDS,New York,Buffalo
B-25658," $1,290.00 ", $204.00 ,12,Office Supplies,Markers,UPI,19-12-2024,19,12,2024,Samuel Wallace,California,San Francisco
B-26232," $5,219.00 "," $1,180.00 ",20,Office Supplies,Binders,COD,17-12-2021,17,12,2021,Alexander Reed,New York,New York City
B-25695," $1,239.00 ", $575.00 ,17,Electronics,Laptops,UPI,17-12-2022,17,12,2022,Rebecca Wright,New York,Rochester
B-25695," $1,262.00 ", $515.00 ,16,Electronics,Electronic Games,EMI,17-12-2022,17,12,2022,Rebecca Wright,New York,Rochester
B-25192," $3,309.00 ", $177.00 ,13,Furniture,Bookcases,EMI,17-12-2020,17,12,2020,Ashley Wright,Ohio,Cleveland
B-26507," $9,895.00 "," $1,598.00 ",20,Furniture,Bookcases,COD,16-12-2023,16,12,2023,Janet Guerrero,New York,Rochester
B-26121," $1,126.00 ", $55.00 ,1,Furniture,Bookcases,UPI,16-12-2022,16,12,2022,Michelle Williams,New York,Buffalo
B-25590," $8,305.00 "," $1,577.00 ",6,Office Supplies,Binders,Debit Card,16-12-2020,16,12,2020,Darrell Ramos,New York,Rochester
B-26679," $3,234.00 "," $1,274.00 ",10,Furniture,Tables,EMI,15-12-2020,15,12,2020,Matthew Schroeder,Ohio,Cleveland
B-26679," $8,102.00 "," $1,800.00 ",5,Office Supplies,Markers,UPI,15-12-2020,15,12,2020,Matthew Schroeder,Ohio,Cleveland
B-26298," $2,082.00 ", $642.00 ,8,Electronics,Phones,EMI,15-12-2022,15,12,2022,Jenna Holland,Texas,Austin
B-25381," $4,220.00 ", $945.00 ,13,Office Supplies,Markers,EMI,15-12-2020,15,12,2020,Dawn Webb,Illinois,Peoria
B-26225," $1,992.00 ", $355.00 ,2,Electronics,Phones,COD,14-12-2024,14,12,2024,William Beck,Florida,Tampa
B-26157," $9,337.00 ", $554.00 ,11,Office Supplies,Pens,COD,14-12-2023,14,12,2023,Sierra Rios,Florida,Orlando
B-26157," $6,045.00 "," $1,606.00 ",4,Office Supplies,Paper,COD,14-12-2023,14,12,2023,Sierra Rios,Florida,Orlando
B-25970," $9,132.00 "," $3,096.00 ",14,Furniture,Chairs,Debit Card,14-12-2023,14,12,2023,Kevin Cooper,Florida,Tampa
B-25492," $2,596.00 "," $1,003.00 ",19,Office Supplies,Paper,Credit Card,14-12-2021,14,12,2021,Tina Blake,New York,Buffalo
B-25492," $9,279.00 ", $552.00 ,14,Furniture,Chairs,EMI,14-12-2021,14,12,2021,Tina Blake,New York,Buffalo
B-26767," $6,724.00 "," $1,539.00 ",19,Furniture,Bookcases,COD,13-12-2021,13,12,2021,Dennis Rivera,California,San Francisco
B-26739," $2,689.00 "," $1,330.00 ",3,Furniture,Tables,UPI,13-12-2020,13,12,2020,Robert Sexton,California,Los Angeles
B-26677," $8,581.00 "," $2,444.00 ",2,Office Supplies,Paper,Debit Card,13-12-2020,13,12,2020,Philip Baker,Illinois,Peoria
B-26224," $5,564.00 ", $175.00 ,11,Electronics,Laptops,COD,13-12-2023,13,12,2023,Juan Kelly,Florida,Miami
B-26224," $3,953.00 "," $1,776.00 ",15,Electronics,Electronic Games,UPI,13-12-2023,13,12,2023,Juan Kelly,Florida,Miami
B-26684," $7,434.00 "," $2,851.00 ",5,Office Supplies,Markers,UPI,12-12-2022,12,12,2022,Jesse Bond,Illinois,Springfield
B-26464," $8,797.00 "," $1,010.00 ",8,Furniture,Tables,UPI,12-12-2021,12,12,2021,Brian Green,California,San Diego
B-26464," $5,704.00 ", $714.00 ,13,Electronics,Laptops,EMI,12-12-2021,12,12,2021,Brian Green,California,San Diego
B-26464," $9,236.00 "," $2,899.00 ",5,Electronics,Laptops,Debit Card,12-12-2021,12,12,2021,Brian Green,California,San Diego
B-26165," $6,671.00 "," $2,797.00 ",10,Electronics,Phones,UPI,12-12-2022,12,12,2022,Darryl Robbins,Illinois,Peoria
B-26026," $7,355.00 "," $1,034.00 ",3,Furniture,Sofas,COD,12-12-2024,12,12,2024,Kelsey Castaneda,Ohio,Cleveland
B-26026," $1,843.00 ", $248.00 ,3,Electronics,Phones,Credit Card,12-12-2024,12,12,2024,Kelsey Castaneda,Ohio,Cleveland
B-26026," $1,603.00 ", $361.00 ,10,Office Supplies,Pens,Debit Card,12-12-2024,12,12,2024,Kelsey Castaneda,Ohio,Cleveland
B-26026, $953.00 , $93.00 ,2,Office Supplies,Paper,Debit Card,12-12-2024,12,12,2024,Kelsey Castaneda,Ohio,Cleveland
B-26723," $5,322.00 "," $1,423.00 ",18,Furniture,Sofas,COD,09-12-2023,9,12,2023,James Jones,Texas,Dallas
B-25154," $3,977.00 ", $813.00 ,5,Office Supplies,Binders,Credit Card,09-12-2024,9,12,2024,Mark Rodriguez,New York,New York City
B-26723," $5,322.00 "," $1,423.00 ",18,Furniture,Sofas,COD,08-12-2022,8,12,2022,James Dickerson,Texas,Houston
B-26279," $3,747.00 ", $410.00 ,5,Office Supplies,Markers,Credit Card,08-12-2022,8,12,2022,Kevin Jackson,New York,Buffalo
B-26279," $3,194.00 ", $534.00 ,4,Office Supplies,Binders,UPI,08-12-2022,8,12,2022,Kevin Jackson,New York,Buffalo
B-25809," $2,685.00 ", $379.00 ,18,Electronics,Phones,UPI,08-12-2022,8,12,2022,Sabrina Hartman,Florida,Tampa
B-25809," $4,548.00 "," $2,135.00 ",8,Office Supplies,Markers,Debit Card,08-12-2022,8,12,2022,Sabrina Hartman,Florida,Tampa
B-25809," $6,184.00 ", $50.00 ,14,Electronics,Electronic Games,Credit Card,08-12-2022,8,12,2022,Sabrina Hartman,Florida,Tampa
B-25809," $9,916.00 "," $4,602.00 ",14,Furniture,Chairs,UPI,08-12-2022,8,12,2022,Sabrina Hartman,Florida,Tampa
B-25706," $7,259.00 "," $1,969.00 ",10,Electronics,Laptops,Credit Card,08-12-2022,8,12,2022,Kristen Lawson,Illinois,Springfield
B-25594," $2,931.00 ", $212.00 ,7,Electronics,Electronic Games,Credit Card,08-12-2023,8,12,2023,Kevin Johnson,Florida,Tampa
B-26420," $4,897.00 "," $1,001.00 ",14,Furniture,Sofas,Debit Card,07-12-2021,7,12,2021,Lisa Farmer,Texas,Houston
B-25916," $2,858.00 ", $230.00 ,3,Furniture,Tables,Credit Card,07-12-2022,7,12,2022,Christina Davis,Illinois,Chicago
B-25916," $8,175.00 ", $525.00 ,7,Furniture,Sofas,Credit Card,07-12-2022,7,12,2022,Christina Davis,Illinois,Chicago
B-25916," $5,846.00 ", $586.00 ,18,Furniture,Sofas,UPI,07-12-2022,7,12,2022,Christina Davis,Illinois,Chicago
B-25916," $6,009.00 "," $2,107.00 ",7,Electronics,Phones,UPI,07-12-2022,7,12,2022,Christina Davis,Illinois,Chicago
B-25843," $6,864.00 "," $1,824.00 ",14,Electronics,Printers,Credit Card,07-12-2023,7,12,2023,Stephanie Hayes,Texas,Austin
B-25843," $7,524.00 "," $2,308.00 ",15,Electronics,Laptops,EMI,07-12-2023,7,12,2023,Stephanie Hayes,Texas,Austin
B-25690, $523.00 , $95.00 ,20,Electronics,Printers,EMI,07-12-2024,7,12,2024,Mark Blackburn,Texas,Dallas
B-25182," $1,397.00 ", $686.00 ,11,Furniture,Chairs,Credit Card,07-12-2021,7,12,2021,Natalie Maxwell,New York,New York City
B-25342," $4,364.00 ", $831.00 ,2,Furniture,Tables,EMI,06-12-2024,6,12,2024,Nancy Jones,Ohio,Cleveland
B-25342, $949.00 , $301.00 ,9,Office Supplies,Binders,UPI,06-12-2024,6,12,2024,Nancy Jones,Ohio,Cleveland
B-25342," $6,823.00 ", $771.00 ,6,Office Supplies,Binders,EMI,06-12-2024,6,12,2024,Nancy Jones,Ohio,Cleveland
B-26742," $4,358.00 ", $526.00 ,19,Electronics,Phones,Credit Card,05-12-2022,5,12,2022,Bryan Russell,Texas,Dallas
B-26742," $6,459.00 ", $825.00 ,8,Electronics,Phones,Credit Card,05-12-2022,5,12,2022,Bryan Russell,Texas,Dallas
B-26526, $599.00 , $265.00 ,4,Electronics,Phones,Credit Card,05-12-2024,5,12,2024,Sabrina Buckley,New York,Rochester
B-26526," $2,727.00 ", $543.00 ,10,Furniture,Bookcases,Credit Card,05-12-2024,5,12,2024,Sabrina Buckley,New York,Rochester
B-26244," $5,442.00 "," $1,610.00 ",1,Electronics,Phones,EMI,05-12-2021,5,12,2021,William Welch,Florida,Orlando
B-26244," $7,340.00 "," $2,271.00 ",8,Office Supplies,Paper,EMI,05-12-2021,5,12,2021,William Welch,Florida,Orlando
B-26046," $5,024.00 "," $1,544.00 ",19,Office Supplies,Pens,COD,05-12-2022,5,12,2022,Charles Moore,Florida,Miami
B-26046," $2,565.00 ", $983.00 ,20,Electronics,Electronic Games,Debit Card,05-12-2022,5,12,2022,Charles Moore,Florida,Miami
B-25038, $738.00 , $342.00 ,2,Furniture,Chairs,Debit Card,05-12-2020,5,12,2020,Lisa Jacobs,New York,Buffalo
B-25266," $5,389.00 "," $2,196.00 ",5,Furniture,Tables,UPI,04-12-2023,4,12,2023,Lori Adkins,California,San Diego
B-25266," $4,164.00 ", $905.00 ,11,Electronics,Phones,COD,04-12-2023,4,12,2023,Lori Adkins,California,San Diego
B-26988," $6,255.00 ", $437.00 ,18,Office Supplies,Markers,COD,03-12-2021,3,12,2021,Ms. Barbara Cervantes,New York,Rochester
B-26988," $2,109.00 ", $681.00 ,20,Electronics,Electronic Games,UPI,03-12-2021,3,12,2021,Ms. Barbara Cervantes,New York,Rochester
B-25234," $5,024.00 ", $379.00 ,2,Office Supplies,Paper,UPI,03-12-2022,3,12,2022,Andrew Barry,Illinois,Peoria
B-26712," $5,196.00 "," $2,477.00 ",1,Office Supplies,Markers,UPI,01-12-2021,1,12,2021,Emma Bruce,Texas,Austin
B-26712," $6,586.00 "," $1,794.00 ",19,Furniture,Bookcases,Debit Card,01-12-2021,1,12,2021,Emma Bruce,Texas,Austin
B-25955, $655.00 , $297.00 ,4,Office Supplies,Markers,Debit Card,30-11-2023,30,11,2023,Ashlee Mills,Florida,Orlando
B-25492," $2,596.00 "," $1,003.00 ",19,Office Supplies,Paper,Credit Card,30-11-2020,30,11,2020,Clarence Cooke,California,San Francisco
B-25492," $9,279.00 ", $552.00 ,14,Furniture,Chairs,EMI,30-11-2020,30,11,2020,Clarence Cooke,California,San Francisco
B-26896," $6,488.00 "," $1,591.00 ",18,Electronics,Printers,EMI,29-11-2020,29,11,2020,Morgan Sullivan,Texas,Houston
B-26726," $3,176.00 ", $586.00 ,9,Furniture,Tables,EMI,29-11-2021,29,11,2021,Lynn Reynolds,Ohio,Cincinnati
B-26726," $7,213.00 ", $508.00 ,19,Electronics,Electronic Games,Debit Card,29-11-2021,29,11,2021,Lynn Reynolds,Ohio,Cincinnati
B-26309," $6,672.00 "," $3,319.00 ",4,Furniture,Tables,UPI,29-11-2023,29,11,2023,Joshua Murray,Texas,Dallas
B-26734, $847.00 , $355.00 ,17,Furniture,Tables,COD,28-11-2023,28,11,2023,Emily Frederick,Texas,Austin
B-25507," $6,392.00 ", $444.00 ,18,Electronics,Electronic Games,Credit Card,28-11-2023,28,11,2023,Debra Rodriguez,Florida,Tampa
B-25104," $8,971.00 "," $2,971.00 ",19,Office Supplies,Binders,Debit Card,28-11-2020,28,11,2020,Paul Raymond,California,San Diego
B-25104," $2,939.00 ", $894.00 ,20,Office Supplies,Binders,COD,28-11-2020,28,11,2020,Paul Raymond,California,San Diego
B-26284," $5,152.00 "," $2,045.00 ",14,Electronics,Phones,UPI,27-11-2020,27,11,2020,Elizabeth Miller,Illinois,Springfield
B-25810," $7,144.00 ", $192.00 ,13,Electronics,Electronic Games,Credit Card,27-11-2021,27,11,2021,Kendra Mckinney,Florida,Miami
B-25810," $1,894.00 ", $275.00 ,5,Furniture,Chairs,Credit Card,27-11-2021,27,11,2021,Kendra Mckinney,Florida,Miami
B-25471," $1,146.00 ", $188.00 ,9,Furniture,Chairs,Debit Card,27-11-2024,27,11,2024,Tara Hughes,Florida,Tampa
B-26293," $9,768.00 "," $4,518.00 ",8,Furniture,Tables,Credit Card,26-11-2021,26,11,2021,Michael Hunt,Texas,Dallas
B-26293," $4,968.00 ", $934.00 ,5,Furniture,Sofas,Debit Card,26-11-2021,26,11,2021,Michael Hunt,Texas,Dallas
B-26293," $1,731.00 ", $149.00 ,4,Electronics,Laptops,EMI,26-11-2021,26,11,2021,Michael Hunt,Texas,Dallas
B-26572," $1,818.00 ", $738.00 ,11,Office Supplies,Markers,EMI,25-11-2024,25,11,2024,Mark Roy,California,San Francisco
B-26572," $5,911.00 "," $2,333.00 ",14,Furniture,Bookcases,EMI,25-11-2024,25,11,2024,Mark Roy,California,San Francisco
B-25574," $5,313.00 "," $2,037.00 ",7,Electronics,Printers,Debit Card,25-11-2024,25,11,2024,Jason Hernandez,California,San Francisco
B-25444," $7,626.00 ", $229.00 ,5,Office Supplies,Pens,EMI,25-11-2020,25,11,2020,Tony Chavez,Ohio,Columbus
B-25101," $1,638.00 ", $661.00 ,13,Furniture,Chairs,EMI,25-11-2023,25,11,2023,Steven Steele,Illinois,Springfield
B-26426," $8,644.00 "," $1,968.00 ",9,Office Supplies,Paper,Debit Card,24-11-2023,24,11,2023,Melissa Mitchell,Illinois,Chicago
B-25465, $717.00 , $158.00 ,16,Furniture,Tables,Credit Card,24-11-2024,24,11,2024,Crystal Chambers,New York,New York City
B-25465, $508.00 , $177.00 ,17,Furniture,Sofas,UPI,24-11-2024,24,11,2024,Crystal Chambers,New York,New York City
B-25298," $8,104.00 "," $1,039.00 ",6,Office Supplies,Markers,COD,24-11-2021,24,11,2021,Lisa Mcintyre,Florida,Orlando
B-26883," $9,751.00 "," $2,459.00 ",13,Office Supplies,Pens,COD,23-11-2020,23,11,2020,Christian Jones,New York,Buffalo
B-25962," $4,202.00 "," $1,171.00 ",3,Office Supplies,Markers,COD,23-11-2022,23,11,2022,Rachel Fisher,Illinois,Peoria
B-25303, $770.00 , $241.00 ,11,Furniture,Sofas,COD,23-11-2021,23,11,2021,Darren Perez,Texas,Austin
B-26353," $6,304.00 ", $766.00 ,14,Furniture,Tables,EMI,22-11-2024,22,11,2024,Danielle Ramirez,California,San Francisco
B-26353," $5,317.00 "," $1,345.00 ",18,Furniture,Chairs,Debit Card,22-11-2024,22,11,2024,Danielle Ramirez,California,San Francisco
B-26554," $7,564.00 "," $3,463.00 ",5,Office Supplies,Paper,Credit Card,21-11-2020,21,11,2020,Jessica Jones,Illinois,Peoria
B-26554," $3,409.00 "," $1,605.00 ",20,Electronics,Electronic Games,UPI,21-11-2020,21,11,2020,Jessica Jones,Illinois,Peoria
B-25881," $8,709.00 "," $2,322.00 ",8,Furniture,Tables,Debit Card,21-11-2024,21,11,2024,Kristin Hart,California,San Francisco
B-26716," $4,390.00 ", $179.00 ,1,Furniture,Tables,Debit Card,20-11-2021,20,11,2021,Marcus Santiago,New York,Buffalo
B-26716," $1,314.00 ", $490.00 ,16,Furniture,Sofas,UPI,20-11-2021,20,11,2021,Marcus Santiago,New York,Buffalo
B-26716," $1,150.00 ", $58.00 ,7,Office Supplies,Binders,Debit Card,20-11-2021,20,11,2021,Marcus Santiago,New York,Buffalo
B-26259," $1,757.00 ", $622.00 ,10,Furniture,Chairs,UPI,20-11-2022,20,11,2022,Kayla Ross,Illinois,Peoria
B-26145," $7,441.00 ", $867.00 ,12,Furniture,Sofas,COD,20-11-2021,20,11,2021,Deborah Williams,Illinois,Chicago
B-26677," $8,581.00 "," $2,444.00 ",2,Office Supplies,Paper,Debit Card,19-11-2020,19,11,2020,Randall Dennis,Florida,Orlando
B-26640," $8,127.00 "," $3,551.00 ",16,Furniture,Tables,Credit Card,18-11-2022,18,11,2022,Richard Kelley,California,Los Angeles
B-26640, $883.00 , $117.00 ,10,Electronics,Laptops,EMI,18-11-2022,18,11,2022,Richard Kelley,California,Los Angeles
B-26112," $1,476.00 ", $247.00 ,5,Furniture,Bookcases,COD,18-11-2023,18,11,2023,Jacob Martinez,California,Los Angeles
B-25330," $2,957.00 ", $917.00 ,16,Office Supplies,Pens,Debit Card,17-11-2024,17,11,2024,Katrina Wood,Illinois,Chicago
B-26332," $9,835.00 "," $2,571.00 ",16,Furniture,Tables,COD,16-11-2021,16,11,2021,Nicholas Anderson,Florida,Orlando
B-26332," $9,691.00 "," $3,056.00 ",13,Office Supplies,Markers,Credit Card,16-11-2021,16,11,2021,Nicholas Anderson,Florida,Orlando
B-26332," $7,826.00 "," $1,221.00 ",14,Furniture,Bookcases,UPI,16-11-2021,16,11,2021,Nicholas Anderson,Florida,Orlando
B-25372," $1,016.00 ", $172.00 ,20,Furniture,Tables,Debit Card,16-11-2020,16,11,2020,Heather Jenkins,New York,Buffalo
B-25372," $5,768.00 "," $2,059.00 ",14,Furniture,Tables,UPI,16-11-2020,16,11,2020,Heather Jenkins,New York,Buffalo
B-25372," $1,217.00 ", $151.00 ,3,Furniture,Tables,Credit Card,16-11-2020,16,11,2020,Heather Jenkins,New York,Buffalo
B-25369," $1,579.00 ", $602.00 ,9,Electronics,Laptops,Credit Card,16-11-2021,16,11,2021,Mr. Daniel Wilson,Ohio,Cincinnati
B-25369," $3,760.00 "," $1,849.00 ",19,Furniture,Chairs,EMI,16-11-2021,16,11,2021,Mr. Daniel Wilson,Ohio,Cincinnati
B-25006," $5,831.00 "," $1,574.00 ",17,Office Supplies,Pens,Debit Card,16-11-2022,16,11,2022,Jeffrey Johnson III,California,San Francisco
B-25603," $9,272.00 "," $1,771.00 ",19,Office Supplies,Markers,UPI,14-11-2024,14,11,2024,Jamie Brewer,Illinois,Springfield
B-26137," $3,423.00 ", $804.00 ,4,Electronics,Printers,Credit Card,13-11-2021,13,11,2021,Richard Maynard,Ohio,Cincinnati
B-25953," $4,985.00 "," $1,920.00 ",10,Furniture,Bookcases,Credit Card,13-11-2021,13,11,2021,Sydney Walls,Illinois,Chicago
B-25953," $6,690.00 "," $1,001.00 ",19,Office Supplies,Binders,UPI,13-11-2021,13,11,2021,Sydney Walls,Illinois,Chicago
B-25698," $3,776.00 "," $1,100.00 ",9,Electronics,Electronic Games,EMI,13-11-2022,13,11,2022,Heather Parker,Texas,Austin
B-25962," $4,202.00 "," $1,171.00 ",3,Office Supplies,Markers,COD,12-11-2023,12,11,2023,Jesus Zuniga,Texas,Houston
B-25890," $2,516.00 ", $734.00 ,19,Furniture,Chairs,UPI,12-11-2023,12,11,2023,Jacqueline Hubbard,New York,New York City
B-25564," $2,451.00 ", $342.00 ,8,Office Supplies,Paper,EMI,12-11-2021,12,11,2021,Kayla Banks,Ohio,Cincinnati
B-25396," $5,165.00 ", $885.00 ,16,Office Supplies,Pens,EMI,12-11-2022,12,11,2022,Lydia Donovan,Illinois,Peoria
B-25396," $4,863.00 "," $2,394.00 ",4,Furniture,Bookcases,EMI,12-11-2022,12,11,2022,Lydia Donovan,Illinois,Peoria
